pc, target_address, target_apiname
0x00401353,0x00401720,none
0x004011d5,0x00401a10,none
0x004011dc,0x004014f4,none
0x00401504,0x00401a84,none
0x00401a9d,0x76d9ba60,IsProcessorFeaturePresent
0x00401509,0x00401784,none
0x00401516,0x00401784,none
0x004011f6,0x004014c2,none
0x004014c3,0x00401d9e,none
0x00401222,0x00401dec,none
0x0040110c,0x00401dc8,none
0x00401111,0x00401772,none
0x00401117,0x00401dfe,none
0x0040111c,0x0040176b,none
0x00401123,0x00401e2e,none
0x0040112c,0x0040152d,none
0x0040154a,0x00401d9e,none
0x0040113b,0x004019af,none
0x00401145,0x004016be,none
0x004016c4,0x00401690,none
0x0040169f,0x00401e40,none
0x0040114a,0x0040176e,none
0x00401150,0x00401dd4,none
0x0040115b,0x00401778,none
0x0040177d,0x7791e5d0,InitializeSListHead
0x00401160,0x004017ce,none
0x00401174,0x004017a8,none
0x00401179,0x004017a8,none
0x0040117e,0x00401787,none
0x00401793,0x00401e46,none
0x00401183,0x0040176b,none
0x00401189,0x00401e22,none
0x0040118f,0x00401784,none
0x00401198,0x00401dda,none
0x0040119d,0x0040176b,none
0x004011a2,0x004018fb,none
0x004011b4,0x004017b1,none
0x004017b1,0x00401000,none
0x004017bf,0x004017ab,none
0x00401248,0x00401de6,none
0x004011bc,0x00401942,none
0x00401947,0x76d9d2e0,SetUnhandledExceptionFilter
0x004011c1,0x0040176b,none
0x004011c7,0x00401e28,none
0x00401263,0x0040164b,none
0x0040164e,0x00401d9e,none
0x00401269,0x004017da,none
0x00401291,0x004017e0,none
0x004012af,0x00401de0,none
0x004012b6,0x00401e0a,none
0x004012bd,0x00401e04,none
0x004012c6,0x00401040,none
0x004010e3,0x00401010,none
0x00401019,0x7725a170,__acrt_iob_func
0x0040102a,0x00401000,none
0x00401034,0x772076c0,__stdio_common_vfprintf
0x004010f2,0x004010fb,none
0x004012d0,0x00401900,none
0x00401902,0x76d9c760,GetModuleHandleW
0x00401345,0x00401df2,none
